SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,6125 98th St Unit 9F,Rego Park,NY,11374,329000,1,1.0,Rego Park,690,,1960,3,477,,Active,March-15-2026 11:00 AM,March-15-2026 12:30 PM,https://www.redfin.com/NY/Rego-Park/6125-98th-St-11374/unit-9F/home/144210465,OneKey® MLS as Distributed by MLS Grid,970692,N,Y,40.7348818,-73.8593489
MLS Listing,,Single Family Residential,187 Seaver Ave #1,Staten Island,NY,10305,245000,1,1.0,Dongan Hills-Above Hylan,628,628,1968,12,390,450,Active,,,https://www.redfin.com/NY/Staten-Island/187-Seaver-Ave-10305/unit-1/home/196180246,SIBORMLS,2601068,N,Y,40.5844018,-74.0981805
MLS Listing,,Condo/Co-op,350 Cabrini Blvd Unit 3M,New York,NY,10040,449000,1,1.0,New York (Manhattan),,,1935,16,,,Active,,,https://www.redfin.com/NY/New-York/350-Cabrini-Blvd-10040/unit-3M/home/45165584,OneKey® MLS as Distributed by MLS Grid,965587,N,Y,40.8565764,-73.937407
MLS Listing,,Single Family Residential,11748 140th St,Jamaica,NY,11436,769000,4,3.0,Jamaica,1112,2500,1930,51,692,,Active,,,https://www.redfin.com/NY/Jamaica/11748-140th-St-11436/home/20718345,OneKey® MLS as Distributed by MLS Grid,954758,N,Y,40.6768323,-73.801382
MLS Listing,,Condo/Co-op,176 Johnson St Unit 3C,Brooklyn,NY,11201,949000,2,1.0,Brooklyn,810,,1926,59,1172,391,Active,,,https://www.redfin.com/NY/Brooklyn/176-Johnson-St-11201/unit-3C/home/40639787,OneKey® MLS as Distributed by MLS Grid,952289,N,Y,40.6947027,-73.9829154
MLS Listing,,Single Family Residential,434 Beach 47th St,Far Rockaway,NY,11691,649000,3,2.0,Far Rockaway,960,2094,1940,60,676,,Active,,,https://www.redfin.com/NY/Far-Rockaway/434-Beach-47th-St-11691/home/20671911,OneKey® MLS as Distributed by MLS Grid,951429,N,Y,40.5965536,-73.7781339
MLS Listing,,Multi-Family (2-4 Unit),145-51 Arlington Ter,Jamaica,NY,11435,750000,2,2.0,Jamaica,,2200,1930,66,,,Active,,,https://www.redfin.com/NY/Jamaica/14551-Arlington-Ter-11435/home/20714964,OneKey® MLS as Distributed by MLS Grid,948113,N,Y,40.690853,-73.801421
MLS Listing,,Multi-Family (2-4 Unit),693 Evergreen Ave,Brooklyn,NY,11207,1295000,6,4.0,Brooklyn,2200,1000,2006,66,589,,Active,,,https://www.redfin.com/NY/Brooklyn/693-Evergreen-Ave-11207/home/40659159,OneKey® MLS as Distributed by MLS Grid,949583,N,Y,40.6866206,-73.908773
MLS Listing,,Single Family Residential,13715 170th St,Jamaica,NY,11434,789000,3,2.0,Jamaica,1063,3667,1945,84,742,,Active,March-15-2026 02:00 PM,March-15-2026 04:00 PM,https://www.redfin.com/NY/Jamaica/13715-170th-St-11434/home/20702672,OneKey® MLS as Distributed by MLS Grid,945139,N,Y,40.6722069,-73.7700101
MLS Listing,,Multi-Family (2-4 Unit),181 Mosely Ave,Staten Island,NY,10312,999999,5,4.0,Annadale,2008,3200,1986,86,498,,Active,,,https://www.redfin.com/NY/Staten-Island/181-Mosely-Ave-10312/home/56106698,SIBORMLS,2507192,N,Y,40.5407716,-74.1720221
MLS Listing,,Condo/Co-op,525 W 235th St Unit 7E,Bronx,NY,10463,399000,2,2.0,Bronx,1200,,1954,88,333,,Active,,,https://www.redfin.com/NY/Bronx/525-W-235th-St-10463/unit-7E/home/160774977,OneKey® MLS as Distributed by MLS Grid,942180,N,Y,40.8855761,-73.9082878
MLS Listing,,Single Family Residential,8707 Avenue B,Brooklyn,NY,11236,889999,3,2.0,Brooklyn,1872,2200,1940,93,475,,Active,,,https://www.redfin.com/NY/Brooklyn/8707-Avenue-B-11236/home/40775351,BNYMLS,497850,N,Y,40.6484352,-73.9184792
